wave,arm,step,val_acc,resp_len,clip_ratio,tps,tokens,h_target,h9_budget
legacy,a3_offpolicy,140,,6473.96875,0.0703125,120.41738618724048,845894,,
legacy,a3_offpolicy,141,,7229.6875,0.09375,135.36774340830743,942023,,
legacy,a3_offpolicy,142,,7441.7109375,0.1015625,140.26882819086313,967980,,
legacy,a3_offpolicy,143,,6679.15625,0.09375,122.5250678062439,871932,,
legacy,a3_offpolicy,144,,7044.3125,0.1171875,133.3702847212553,919231,,
legacy,a3_offpolicy,145,,7251.09375,0.1015625,135.18822384625673,945086,,
legacy,a3_offpolicy,146,,6579.140625,0.0390625,121.77951231598854,859117,,
legacy,a3_offpolicy,147,,6648.9765625,0.0703125,120.8771273624152,866420,,
legacy,a3_offpolicy,148,,6915.828125,0.109375,135.2315790913999,902351,,
legacy,a3_offpolicy,149,,6767.1484375,0.0859375,125.8628031052649,883102,,
legacy,a3_offpolicy,150,0.358,6260.390625,0.0546875,145.4114880003035,817509,,
legacy,a3_offpolicy,151,,7025.3515625,0.09375,136.79355858825147,915981,,
legacy,a3_offpolicy,152,,7016.5390625,0.078125,126.23771694675088,914369,,
legacy,a3_offpolicy,153,,7000.0078125,0.078125,131.63811477087438,913408,,
legacy,a3_offpolicy,154,,7567.96875,0.109375,135.0639551449567,984769,,
legacy,a3_offpolicy,155,,6699.6015625,0.0625,129.7880222145468,875857,,
legacy,a3_offpolicy,156,,7091.7734375,0.078125,135.89797156117857,924594,,
legacy,a3_offpolicy,157,,6576.484375,0.0546875,124.6877755317837,859049,,
legacy,a3_offpolicy,158,,5970.2265625,0.0546875,125.79540931992233,778974,,
legacy,a3_offpolicy,159,,6182.40625,0.046875,111.59224068745971,808034,,
legacy,a3_offpolicy,160,,6646.796875,0.09375,123.67416723072529,866590,,
legacy,a3_offpolicy,161,,6027.9375,0.0546875,125.13237470574677,788172,,
legacy,a3_offpolicy,162,,6614.203125,0.0859375,124.90396628901362,863903,,
legacy,a3_offpolicy,163,,6646.5546875,0.078125,123.1556919068098,867446,,
legacy,a3_offpolicy,164,,6674.5,0.0859375,130.97600708529353,873511,,
legacy,a3_offpolicy,165,,7425.7734375,0.1171875,179.67507252283394,968132,,
legacy,a3_offpolicy,166,,6393.6484375,0.0703125,123.47628157399595,834742,,
legacy,a3_offpolicy,167,,6711.15625,0.0859375,127.07695597782731,875559,,
legacy,a3_offpolicy,168,,6653.5859375,0.0625,122.58318821527064,867895,,
legacy,a4_dagger_anneal,1,,6984.7734375,0.078125,156.9104450531304,909734,,
legacy,a4_dagger_anneal,2,,7420.6484375,0.1171875,148.85827276483178,966192,,
legacy,a4_dagger_anneal,3,,6788.328125,0.0703125,131.44940047338605,886087,,
legacy,a4_dagger_anneal,4,,6935.140625,0.1015625,136.18561928346753,904350,,
legacy,a4_dagger_anneal,5,,6863.6953125,0.09375,135.45197801664472,896648,,
legacy,a4_dagger_anneal,6,,6692,0.109375,134.46279821917415,872681,,
legacy,a4_dagger_anneal,7,,7418.5234375,0.1328125,144.46751675382257,965229,,
legacy,a4_dagger_anneal,8,,6281.625,0.0625,127.54724173992872,820732,,
legacy,a4_dagger_anneal,9,,6628.3125,0.0703125,129.11932887136936,865849,,
legacy,a4_dagger_anneal,10,,6647.4140625,0.09375,127.8231899254024,867563,,
legacy,a4_dagger_anneal,11,,6667.7578125,0.0859375,139.3779200911522,870450,,
legacy,a4_dagger_anneal,12,,6827.9453125,0.09375,139.8632856607437,891407,,
legacy,a4_dagger_anneal,13,,6298.8671875,0.0703125,127.62667408585548,824024,,
legacy,a4_dagger_anneal,14,,6291.6796875,0.0703125,114.80309857800603,821089,,
legacy,a4_dagger_anneal,15,,6637.9453125,0.0703125,130.05300314724445,865175,,
legacy,a4_dagger_anneal,16,,6192.1875,0.1015625,120.57956451922655,808991,,
legacy,a4_dagger_anneal,17,,6602.890625,0.0703125,168.18256611377,860430,,
legacy,a4_dagger_anneal,18,,6118.453125,0.0703125,142.5237203091383,799783,,
legacy,a4_dagger_anneal,19,,6162.8828125,0.0703125,120.72431530058384,805617,,
legacy,a4_dagger_anneal,20,,6499.3046875,0.0703125,120.98093977570534,850038,,
legacy,a4_dagger_anneal,21,,6947.2265625,0.1328125,137.93688943237066,906219,,
legacy,a4_dagger_anneal,22,,7024.53125,0.09375,149.5397554039955,917057,,
legacy,a4_dagger_anneal,23,,7328.6875,0.1171875,151.74586369097233,954809,,
legacy,a4_dagger_anneal,24,,6475.734375,0.078125,172.81631928682327,848651,,
