wave,arm,step,val_acc,resp_len,clip_ratio
corr,b2_forward_kl,57,,7934.4921875,0.1953125
corr,b2_forward_kl,58,,7555.0625,0.0859375
corr,b2_forward_kl,59,,8288.2734375,0.1640625
corr,b2_forward_kl,60,,8559.8984375,0.1328125
corr,b2_forward_kl,61,,8508.140625,0.140625
corr,b2_forward_kl,62,,7640.140625,0.0546875
corr,b2_forward_kl,63,,7773.078125,0.109375
corr,b2_forward_kl,64,,8202.453125,0.0703125
corr,b2_forward_kl,65,,7888.9375,0.1015625
corr,b2_forward_kl,66,,8340.6015625,0.078125
corr,b2_forward_kl,67,,8625.5,0.1015625
corr,b2_forward_kl,68,,9079.1796875,0.1171875
corr,b2_forward_kl,69,,8481.7734375,0.09375
corr,b2_forward_kl,70,,8834.90625,0.0625
corr,b2_forward_kl,71,,8811.53125,0.046875
corr,b2_forward_kl,72,,9407.8515625,0.09375
corr,b2_forward_kl,73,,9815.390625,0.09375
corr,b2_forward_kl,74,,9374.7109375,0.078125
corr,b2_forward_kl,75,0.51,9772.171875,0.09375
corr,b2_forward_kl,76,,9521.171875,0.0625
corr,b2_forward_kl,77,,8975.78125,0.0703125
corr,b2_forward_kl,78,,8872.921875,0.0546875
corr,b2_forward_kl,79,,8982.6796875,0.03125
corr,b2_forward_kl,80,,8974.6484375,0.0234375
corr,b2_forward_kl,81,,9204.3046875,0.0546875
corr,b2_forward_kl,82,,9395.8359375,0.046875
corr,b2_forward_kl,83,,9083.78125,0.03125
corr,b2_forward_kl,84,,10146.4296875,0.0703125
corr,b2_forward_kl,85,,9489.9921875,0.03125
corr,b2_forward_kl,86,,9320.390625,0.03125
corr,b2_forward_kl,87,,9980.0859375,0.078125
corr,b2_forward_kl,88,,9581.8203125,0.03125
corr,b2_forward_kl,89,,9502.5546875,0.046875
corr,b2_forward_kl,90,,9687.03125,0.0234375
corr,b2_forward_kl,91,,9896.203125,0.015625
corr,b2_forward_kl,92,,9291.640625,0.03125
corr,b2_forward_kl,93,,9844.625,0.03125
corr,b2_forward_kl,94,,9697.5078125,0.0234375
corr,b2_forward_kl,95,,9709.15625,0.03125
corr,b2_forward_kl,96,,9777.875,0.046875
corr,b2_forward_kl,97,,9156.84375,0.015625
corr,b2_forward_kl,98,,9301.921875,0.0078125
corr,b2_forward_kl,99,,9649.0078125,0.015625
corr,b2_forward_kl,100,0.484,9831.34375,0.015625
corr,b2_forward_kl,101,,9960.28125,0.0390625
corr,b2_forward_kl,102,,10019.5234375,0.03125
corr,b2_forward_kl,103,,9596.4765625,0.0390625
corr,b2_forward_kl,104,,9375.875,0.0078125
corr,b2_forward_kl,105,,9993.0078125,0.0078125
corr,b2_forward_kl,106,,9796.78125,0.03125
corr,b2_forward_kl,107,,9558.8359375,0.0234375
corr,b2_forward_kl,108,,9853.703125,0.03125
corr,b2_forward_kl,109,,9752.9609375,0.0078125
corr,b2_forward_kl,110,,9403.6796875,0.0078125
corr,b2_forward_kl,111,,9776.234375,0.0078125
corr,b2_forward_kl,112,,9525.828125,0.0078125
corr,b2_forward_kl,113,,9661.46875,0.0078125
corr,b2_forward_kl,114,,9719.109375,0.0078125
corr,b2_forward_kl,115,,9428.796875,0.0078125
corr,b2_forward_kl,116,,10178.8671875,0.015625
corr,b2_forward_kl,117,,9693.3203125,0.0078125
corr,b2_forward_kl,118,,9636.8203125,0.0078125
corr,b2_forward_kl,119,,9918.4296875,0.0078125
corr,b2_forward_kl,120,,9695.09375,0.0078125
corr,b2_forward_kl,121,,9207.0078125,0.0078125
corr,b2_forward_kl,122,,9932.109375,0.0078125
corr,b2_forward_kl,123,,9710.0078125,0.0078125
corr,b2_forward_kl,124,,10120.6171875,0.0078125
corr,b2_forward_kl,125,0.512,9837.515625,0.0078125
corr,b2_forward_kl,126,,9935.8203125,0.0234375
corr,b2_forward_kl,127,,9821.1953125,0.0078125
corr,b2_forward_kl,128,,9824.1171875,0.0078125
corr,b2_forward_kl,129,,9443.3359375,0.0078125
corr,b5_k2,1,,1483.203125,0.015625
corr,b5_k2,2,,1089.7890625,0.0078125
corr,b5_k2,3,,1378.15625,0.0078125
corr,b5_k2,4,,958.859375,0.015625
corr,b5_k2,5,,1335.8828125,0.0234375
corr,b5_k2,6,,1256.4765625,0.0234375
corr,b5_k2,7,,1322.5859375,0.0078125
corr,b5_k2,8,,1264.1484375,0.0078125
corr,b5_k2,9,,1334.4453125,0.0234375
corr,b5_k2,10,,2137.03125,0.0546875
corr,b5_k2,11,,1102.171875,0.0078125
corr,b5_k2,12,,1285.171875,0.015625
corr,b5_k2,13,,1215.984375,0.0234375
corr,b5_k2,14,,1130.828125,0.0078125
corr,b5_k2,15,,1389.09375,0.015625
corr,b5_k2,16,,1246.75,0.0078125
corr,b5_k2,17,,1217.96875,0.0078125
corr,b5_k2,18,,1205.3359375,0.0078125
corr,b5_k2,19,,1378.25,0.0078125
corr,b5_k2,20,,1440.3125,0.0078125
corr,b5_k2,21,,1470.609375,0.0078125
corr,b5_k2,22,,1982.9375,0.0078125
corr,b5_k2,23,,1604.4609375,0.0078125
corr,b5_k2,24,,1537.0234375,0.015625
corr,b5_k2,25,0.618,1464.1953125,0.0078125
corr,b5_k2,26,,1662.1171875,0.015625
corr,b5_k2,27,,1830.25,0.015625
corr,b5_k2,28,,2065.8515625,0.0078125
corr,b5_k2,29,,2188.1328125,0.03125
corr,b5_k2,30,,2620.0703125,0.046875
corr,b5_k2,31,,2519.453125,0.0234375
corr,b5_k2,32,,3514.4921875,0.078125
corr,b5_k2,33,,4835.6171875,0.1015625
corr,b5_k2,34,,5875.203125,0.1640625
corr,b5_k2,35,,5776.1015625,0.1875
corr,b5_k2,36,,9058.671875,0.3828125
corr,b5_k2,37,,8071.234375,0.3203125
corr,b5_k2,38,,8760.9609375,0.4140625
corr,b5_k2,39,,9924.53125,0.4375
corr,b5_k2,40,,10983.2890625,0.53125
corr,b5_k2,41,,11529.3671875,0.59375
corr,b5_k2,42,,11294.65625,0.59375
corr,b5_k2,43,,11165.1875,0.5546875
corr,b5_k2,44,,12762.8828125,0.671875
corr,b5_k2,45,,12453.5078125,0.6640625
corr,b5_k2,46,,12801.3046875,0.6875
corr,b5_k2,47,,13705.6328125,0.7734375
corr,b5_k2,48,,13665.890625,0.765625
corr,b5_k2,49,,13020.515625,0.7109375
corr,b5_k2,50,0.606,12223.5859375,0.65625
corr,b5_k2,51,,12734.984375,0.6640625
corr,b5_k2,52,,11928.1953125,0.625
corr,b5_k2,53,,12175.1796875,0.6171875
corr,b5_k2,54,,11412.203125,0.5234375
corr,b5_k2,55,,11183.9765625,0.546875
corr,b5_k2,56,,10651.0390625,0.484375
corr,b5_k2,57,,11950.421875,0.5703125
corr,b5_k2,58,,10838.2890625,0.5234375
corr,b5_k2,59,,9569.8359375,0.40625
corr,b5_k2,60,,10042.71875,0.4140625
corr,b5_k2,61,,10420.296875,0.453125
corr,b5_k2,62,,9849.625,0.40625
corr,b5_k2,63,,10366.9609375,0.40625
corr,b5_k2,64,,10974.6640625,0.4375
corr,b5_k2,65,,10393.5703125,0.390625
corr,b5_k2,66,,9918.078125,0.3359375
corr,b5_k2,67,,9392.53125,0.2890625
corr,b5_k2,68,,9364.1796875,0.25
corr,b5_k2,69,,11098.328125,0.375
corr,b5_k2,70,,10835.5546875,0.3671875
corr,b5_k2,71,,10301.7265625,0.328125
corr,b5_k2,72,,10174.2890625,0.2890625
corr,b5_k2,73,,10522.0625,0.2578125
corr,b5_k2,74,,9456.9765625,0.1875
corr,b5_k2,75,0.612,10606.25,0.28125
corr,b5_k2,76,,9969.46875,0.2421875
corr,b5_k2,77,,9717.4921875,0.21875
corr,b5_k2,78,,9403.6640625,0.1796875
corr,b5_k2,79,,8313.3046875,0.09375
corr,b5_k2,80,,8809.7421875,0.1015625
corr,b5_k2,81,,8567.6796875,0.1328125
corr,b5_k2,82,,8309.8046875,0.109375
corr,b5_k2,83,,8876.734375,0.1328125
corr,c3_intersection,1,,1316.8203125,0.015625
corr,c3_intersection,2,,1452.46875,0.0078125
corr,c3_intersection,3,,1281.5078125,0.0078125
corr,c3_intersection,4,,1288.8359375,0.0078125
corr,c3_intersection,5,,1586.75,0.0234375
corr,c3_intersection,6,,1677.609375,0.03125
corr,c3_intersection,7,,1314.46875,0.03125
corr,c3_intersection,8,,1516.9609375,0.015625
corr,c3_intersection,9,,1628.1484375,0.015625
corr,c3_intersection,10,,2342.09375,0.0625
corr,c3_intersection,11,,1445.2421875,0.015625
corr,c3_intersection,12,,2420.3203125,0.03125
corr,c3_intersection,13,,1831.28125,0.0390625
corr,c3_intersection,14,,3091.6484375,0.0859375
corr,c3_intersection,15,,2488.1328125,0.046875
corr,c3_intersection,16,,2354.234375,0.0546875
corr,c3_intersection,17,,2520.015625,0.03125
corr,c3_intersection,18,,3177.7578125,0.0859375
corr,c3_intersection,19,,3474.5,0.078125
corr,c3_intersection,20,,4228.6640625,0.0703125
corr,c3_intersection,21,,3599.4453125,0.0859375
corr,c3_intersection,22,,4566.5546875,0.140625
corr,c3_intersection,23,,3562.5078125,0.078125
corr,c3_intersection,24,,3523.75,0.0703125
corr,c3_intersection,25,0.562,4497.390625,0.125
corr,c3_intersection,26,,4464.2109375,0.1328125
corr,c3_intersection,27,,5059.1328125,0.1640625
corr,c3_intersection,28,,4210.75,0.1171875
corr,c3_intersection,29,,4175.1796875,0.0859375
corr,c3_intersection,30,,4856.0234375,0.171875
corr,c3_intersection,31,,5026.0234375,0.1328125
corr,c3_intersection,32,,4228.109375,0.109375
corr,c3_intersection,33,,4926.2265625,0.140625
corr,c3_intersection,34,,5430.3515625,0.1640625
corr,c3_intersection,35,,5720.8359375,0.2109375
corr,c3_intersection,36,,6063.1484375,0.1953125
corr,c3_intersection,37,,6046.46875,0.21875
corr,c3_intersection,38,,7853.765625,0.2734375
corr,c3_intersection,39,,6306.46875,0.2421875
corr,c3_intersection,40,,6600.296875,0.203125
corr,c3_intersection,41,,6675.8125,0.21875
corr,c3_intersection,42,,6771.234375,0.2421875
corr,c3_intersection,43,,7630.9140625,0.2890625
corr,c3_intersection,44,,6837.265625,0.2734375
corr,c3_intersection,45,,8106.6015625,0.328125
corr,c3_intersection,46,,6617.59375,0.2265625
corr,c3_intersection,47,,6883.9375,0.2890625
corr,c3_intersection,48,,7782.65625,0.328125
corr,c3_intersection,49,,7026.40625,0.234375
corr,c3_intersection,50,0.584,6440.234375,0.203125
corr,c3_intersection,51,,6078.8984375,0.1953125
corr,c3_intersection,52,,5796.5078125,0.1875
corr,c3_intersection,53,,5068.3515625,0.1484375
corr,c3_intersection,54,,6048.125,0.1796875
corr,c3_intersection,55,,4880.3671875,0.1484375
corr,c3_intersection,56,,4951.90625,0.1328125
corr,c3_intersection,57,,4957.8046875,0.125
corr,c3_intersection,58,,4805.71875,0.1328125
corr,c3_intersection,59,,4432.3125,0.109375
corr,c3_intersection,60,,4268.171875,0.0859375
corr,c3_intersection,61,,5036.875,0.171875
corr,c3_intersection,62,,6036.09375,0.1875
corr,c3_intersection,63,,5582.921875,0.1796875
corr,c3_intersection,64,,6182.203125,0.2109375
corr,c3_intersection,65,,7117.4609375,0.234375
corr,c3_intersection,66,,7511.1640625,0.2578125
corr,c3_intersection,67,,7756.34375,0.234375
corr,c3_intersection,68,,9025.09375,0.3203125
corr,c3_intersection,69,,8748.0078125,0.2734375
corr,c3_intersection,70,,8303.2578125,0.2265625
corr,c3_intersection,71,,8311.015625,0.2421875
corr,c3_intersection,72,,7580.5625,0.1640625
corr,c3_intersection,73,,6532.703125,0.09375
corr,c3_intersection,74,,6205.9765625,0.0703125
corr,c3_intersection,75,0.61,6466.328125,0.0859375
corr,c3_intersection,76,,6118.8359375,0.046875
corr,c3_intersection,77,,5785.7109375,0.0546875
corr,c3_intersection,78,,6669.6953125,0.0859375
corr,c3_intersection,79,,6375.4140625,0.0625
corr,c3_intersection,80,,6820.203125,0.046875
corr,c3_intersection,81,,6640.484375,0.0546875
corr,c3_intersection,82,,7219.078125,0.0703125
corr,c3_intersection,83,,6599.109375,0.0078125
corr,c3_intersection,84,,7443.4375,0.015625
corr,c3_intersection,85,,8310.0625,0.0859375
corr,c3_intersection,86,,7898.0859375,0.0625
corr,c3_intersection,87,,6997.5078125,0.0234375
corr,c3_intersection,88,,7616.734375,0.0390625
corr,c3_intersection,89,,6984.25,0.0234375
corr,c3_intersection,90,,6780.609375,0.0078125
corr,c3_intersection,91,,7187.96875,0.015625
corr,c3_intersection,92,,6439.125,0.0234375
corr,c3_intersection,93,,7571.890625,0.015625
corr,c3_intersection,94,,7379.578125,0.0390625
corr,c3_intersection,95,,7244.8203125,0.046875
corr,c3_intersection,96,,7353.53125,0.0390625
corr,c3_intersection,97,,7390.109375,0.03125
corr,c3_intersection,98,,6913.6328125,0.0078125
corr,c3_intersection,99,,7215.78125,0.015625
corr,c3_intersection,100,0.544,6684.328125,0.0234375
corr,c3_intersection,101,,6915.421875,0.0078125
corr,c3_intersection,102,,6982.6796875,0.0078125
corr,c3_intersection,103,,6921.5390625,0.0078125
corr,c3_intersection,104,,7107.5,0.0234375
corr,c3_intersection,105,,7282.015625,0.0078125
corr,c3_intersection,106,,7521.875,0.015625
corr,c3_intersection,107,,6971.6171875,0.0078125
corr,c3_intersection,108,,7244.1953125,0.0078125
corr,c3_intersection,109,,7343.2578125,0.0234375
corr,c3_intersection,110,,6946.4765625,0.015625
corr,c3_intersection,111,,7437.328125,0.03125
corr,c3_intersection,112,,7626.328125,0.03125
corr,c3_intersection,113,,7589.6015625,0.0390625
corr,c3_intersection,114,,7371.859375,0.0078125
corr,c3_intersection,115,,7095.3984375,0.0078125
corr,c3_intersection,116,,7443.140625,0.0234375
corr,c3_intersection,117,,6877.4296875,0.0078125
corr,c3_intersection,118,,6783.125,0.015625
corr,c3_intersection,119,,7290.53125,0.015625
corr,c3_intersection,120,,6966.9609375,0.0078125
corr,c3_intersection,121,,7042.0625,0.015625
corr,c3_intersection,122,,7249.78125,0.0078125
corr,c3_intersection,123,,7032.75,0.0078125
corr,c3_intersection,124,,7542.5,0.0078125
corr,c3_intersection,125,0.566,7165.1640625,0.015625
corr,c3_intersection,126,,6770.765625,0.0078125
corr,c3_intersection,127,,6740.7734375,0.0078125
corr,c3_intersection,128,,6608.0859375,0.0078125
corr,c3_intersection,129,,6883.515625,0.0078125
corr,c3_intersection,130,,6817.421875,0.0078125
corr,c3_intersection,131,,7091.28125,0.0078125
corr,c3_intersection,132,,7254.203125,0.0078125
corr,c3_intersection,133,,7146.390625,0.0078125
corr,c3_intersection,134,,7285.7734375,0.0234375
corr,c3_intersection,135,,6947.4375,0.0078125
corr,c3_intersection,136,,6774.1875,0.0078125
corr,c3_intersection,137,,6977.125,0.0078125
corr,c3_intersection,138,,6757.75,0.0078125
corr,c3_intersection,139,,6745.0546875,0.0078125
corr,c3_intersection,140,,6919.1640625,0.015625
corr,c3_intersection,141,,7205.09375,0.015625
corr,d2_selectkd,1,,1011.9375,0.015625
corr,d2_selectkd,2,,992.1640625,0.0078125
corr,d2_selectkd,3,,1209.3125,0.0078125
corr,d2_selectkd,4,,1810.875,0.03125
corr,d2_selectkd,5,,1171.125,0.0234375
corr,d2_selectkd,6,,1015.2734375,0.015625
corr,d2_selectkd,7,,1518.40625,0.0390625
corr,d2_selectkd,8,,1826.734375,0.0390625
corr,d2_selectkd,9,,1588.21875,0.0234375
corr,d2_selectkd,10,,1694.359375,0.015625
corr,d2_selectkd,11,,2244.71875,0.0546875
corr,d2_selectkd,12,,1348.0625,0.0234375
corr,d2_selectkd,13,,1607.6328125,0.0078125
corr,d2_selectkd,14,,1762.125,0.0234375
corr,d2_selectkd,15,,1473.2890625,0.0234375
corr,d2_selectkd,16,,1523.9296875,0.015625
corr,d2_selectkd,17,,1371.140625,0.03125
corr,d2_selectkd,18,,1214.9765625,0.0078125
corr,d2_selectkd,19,,982.828125,0.0078125
corr,d2_selectkd,20,,1084.875,0.0078125
corr,d2_selectkd,21,,1563.5078125,0.015625
corr,d2_selectkd,22,,1170.8671875,0.0078125
corr,d2_selectkd,23,,1559.3359375,0.0078125
corr,d2_selectkd,24,,1708.5859375,0.0234375
corr,d2_selectkd,25,0.618,1886.078125,0.0078125
corr,d2_selectkd,26,,1618.0234375,0.0078125
corr,d2_selectkd,27,,1543.6953125,0.0078125
corr,d2_selectkd,28,,1875.453125,0.0078125
corr,d2_selectkd,29,,2364.2265625,0.03125
corr,d2_selectkd,30,,1957.3515625,0.03125
corr,d2_selectkd,31,,2990.4296875,0.0546875
corr,d2_selectkd,32,,2800.5546875,0.0625
corr,d2_selectkd,33,,4263.28125,0.1015625
corr,d2_selectkd,34,,4160.7265625,0.109375
corr,d2_selectkd,35,,5219.5234375,0.1953125
corr,d2_selectkd,36,,6123.21875,0.234375
corr,d2_selectkd,37,,6663.8046875,0.265625
corr,d2_selectkd,38,,7414.7734375,0.3203125
corr,d2_selectkd,39,,7253.8046875,0.296875
corr,d2_selectkd,40,,8509.765625,0.375
corr,d2_selectkd,41,,9408.5234375,0.453125
corr,d2_selectkd,42,,9432.8828125,0.4609375
corr,d2_selectkd,43,,9749.0703125,0.4765625
corr,d2_selectkd,44,,11442.1484375,0.59375
corr,d2_selectkd,45,,11911.375,0.6484375
corr,d2_selectkd,46,,11302.7265625,0.59375
corr,d2_selectkd,47,,12115.015625,0.6484375
corr,d2_selectkd,48,,12692.4765625,0.703125
corr,d2_selectkd,49,,12446.7890625,0.6640625
corr,d2_selectkd,50,0.628,12589.0703125,0.6875
corr,d2_selectkd,51,,14225.796875,0.8203125
corr,d2_selectkd,52,,12850.1640625,0.7109375
corr,d2_selectkd,53,,13295.328125,0.7421875
corr,d2_selectkd,54,,13255.2265625,0.7421875
corr,d2_selectkd,55,,13780.390625,0.7578125
corr,d2_selectkd,56,,12683.625,0.703125
corr,d2_selectkd,57,,13967.421875,0.78125
corr,d2_selectkd,58,,12575.71875,0.703125
corr,d2_selectkd,59,,12540.453125,0.671875
corr,d2_selectkd,60,,12097.1328125,0.609375
corr,d2_selectkd,61,,12281.9765625,0.59375
corr,d2_selectkd,62,,12279.65625,0.640625
